,combinedPval,adjustedPval,cluster
NSFL1C,0.0002229741117800721,0.007362882928173755,1
CHRAC1,0.00022373339068482156,0.007385882905719025,0
NOC3L,0.00022388334671663568,0.007388760668065069,0
ENSGALG00000042150,0.00022458665769309327,0.007409893918514993,4
NOA1,0.00022482186105343693,0.007415575155402314,2
MVB12B,0.00022528275376387796,0.007428695311451332,1
ENSGALG00000048236,0.0002276406992043345,0.007504345879135109,7
SDHC,0.0002286215411360093,0.007534569543205438,3
DGKZ,0.00022871609766661471,0.007535575582657176,4
MED21,0.0002289117845741817,0.007539912098283802,0
AR,0.0002293296678153034,0.007551562857553133,6
CPEB1,0.00023045168945290406,0.0075863870827469135,2
MAOA,0.00023072236913035393,0.00759317379608905,8
ARG2,0.00023113055170154162,0.007604480729890332,1
WRAP73,0.00023153431553868398,0.007615636002260332,2
C20H20ORF24,0.00023320102051127556,0.007668314144632111,1
USP6NL,0.00023357569672510792,0.007678489137667801,0
TRNT1,0.00023506184689736642,0.007725186466818995,1
ENSGALG00000013777,0.00023569314609006575,0.007743771328889851,9
CDK10,0.0002375500928870622,0.007802603609860522,8
TOP3B,0.00023824969400432217,0.00782339932876228,7
RASL11A,0.00023882300724153982,0.007840037690883225,3
ENSGALG00000045948,0.00023929523401466923,0.007853349250948929,4
DDX23,0.0002397819734527573,0.007867129542356945,7
KHDRBS1,0.00023995274947863354,0.007870538436312805,9
SNAPC1,0.00024101146876476243,0.007903062181115233,2
ENSGALG00000005093,0.00024274770898502496,0.007957778362202508,7
NFIC,0.00024353538089383342,0.007981376672538494,0
AEBP2,0.00024360800774481106,0.007981534220368187,0
TCEA3,0.00024456009165341186,0.008010498052791437,3
SUSD1,0.00024492176629986595,0.008020112456337072,4
ENSGALG00000039958,0.0002451073189559949,0.008023955893477036,2
PARD3B,0.0002456107999666557,0.008038202160478548,2
VPS33B,0.0002465345028375143,0.008066189450537904,2
RCAN3,0.0002468657536998098,0.008074782549249565,6
PMM2,0.0002470442912849702,0.008078377130722141,0
PGP,0.0002473318752456155,0.008085534553890215,3
TMEM39B,0.00024746253692886633,0.008087559475021376,0
LYPLAL1,0.00024768108309358716,0.008092454711081583,1
C7orf50,0.000249398444285287,0.008146304244179732,1
MTHFSD,0.00025063835685767977,0.008184532928686957,6
TMEM230,0.0002514310318127988,0.008208140022989766,0
SNRPA1,0.00025175984090508585,0.0082165950014279,1
UFD1,0.0002527778598870878,0.008247532549958286,4
ATXN10,0.0002545645121891926,0.008303524651590554,4
UROS,0.0002548320381623448,0.008307645835087453,3
ATP6V1B2,0.00025480231183472313,0.008307645835087453,4
MPG,0.00025530242673488246,0.008320675830273136,2
ENSGALG00000040770,0.00025645343698532663,0.008355874915499153,2
CTXN2,0.0002567256999328471,0.008362430722452633,2
MCAT,0.00025697344133646105,0.008368184372184607,9
COA7,0.0002572303087646777,0.00837423193995959,1
CETN3,0.0002593209140904218,0.008439957698126499,0
ACAP2,0.0002594264488068321,0.00844105810797442,4
MAD1L1,0.00025997103206276684,0.00845410277372012,4
HIST1H110,0.0002599394473177252,0.00845410277372012,0
SOX5,0.0002610892106625906,0.008488119841896671,0
CAPRIN1,0.0002612279519438321,0.008490284996596617,7
TMF1,0.0002615322329913017,0.008497827751321164,0
INHA,0.0002622644908171212,0.00851926852580751,2
ODF2,0.0002639845928460449,0.008572777250095786,9
LAMA4,0.0002674599543817102,0.008683241966464313,0
MYLIP,0.00026771582519513615,0.008689151952837783,0
BORCS7,0.0002691542608388442,0.008733430160396662,0
PTGES2,0.00027130211312342833,0.00880069653508073,3
SRSF10,0.00027203047002877234,0.008821891896542557,0
MAST4,0.0002724874403332578,0.008834276993287836,4
ENSGALG00000006345,0.0002762430015081918,0.008953568966211148,4
MAPKAPK3,0.00027703810274326557,0.008976867447014893,0
