,combinedPval,adjustedPval,cluster
Speg,0.00010760431181511265,0.0018395090127414698,1
Plagl2,0.00010763618751397086,0.0018398703852271308,6
Mon2,0.00010775132485174588,0.0018416547697006056,1
Hoxa1,0.00010780820365263732,0.0018424431593446267,2
Gpkow,0.0001080676167972694,0.0018466923603220808,4
Llgl2,0.00010808702173670248,0.00184683978953144,6
3110002H16Rik,0.00010818255977396163,0.0018482879154950841,2
Slc22a4,0.00010830332078848315,0.0018501666417428649,2
2610027F03Rik,0.0001083204150507111,0.0018502742107324008,4
Kera,0.00010837261349627703,0.00185098133030986,3
Mbip,0.00010844734761383812,0.0018520731750965918,1
Panct2,0.0001085038891345258,0.0018528541384954054,2
Zbtb11,0.00010874011320516352,0.0018565839397248441,1
Smyd3,0.0001087439764272391,0.0018565839397248441,1
Rtn4ip1,0.00010888885197268827,0.0018588721953157494,1
Atf7,0.00010896221377476589,0.001859939285430204,3
Bclaf3,0.0001090326994956925,0.0018609570743678087,4
Ptbp3,0.00010909949388659967,0.001861911663674119,3
Mpv17,0.00010937295068513819,0.0018663926496097821,3
Taf5,0.00010954829898868201,0.001869198739327251,1
Nprl3,0.00010959044951897035,0.001869731772000033,1
Cdc14a,0.00010961260578845611,0.0018699236087572854,5
Tmod3,0.00010966897959474586,0.0018706990793405439,3
Cpeb1,0.00010968051386961442,0.0018707096130107794,2
Tmem126b,0.00010975128769019626,0.001871730433054626,1
Clca3a2,0.00010982958416771993,0.0018728793307461774,7
Aga,0.0001100151625319512,0.001875857252247887,3
Rspo3,0.00011008924358502092,0.0018769336411191197,4
Atf1,0.00011010142076806062,0.0018769545092989827,3
Zfp217,0.00011024628689537685,0.0018792371637450548,5
Gm11772,0.00011027013207565162,0.001879269751710215,1
Plk5,0.00011026321213414292,0.001879269751710215,2
Tcn2,0.00011028183603678521,0.001879282315235339,3
Rgs16,0.00011034265586107317,0.0018800550813969034,1
Fdxacb1,0.00011034912679575015,0.0018800550813969034,1
Sp3,0.0001104369300887198,0.0018813639640484108,5
Synm,0.00011072263898004309,0.0018860437002013305,2
Mfsd1,0.00011075448539776822,0.0018863986556552463,3
Xrcc1,0.0001109092445432669,0.0018888468134394935,3
Eea1,0.00011104060657074477,0.0018908960581755232,5
Rsl24d1,0.00011106516467740413,0.0018911263263002578,5
Itpkb,0.00011113681992447333,0.0018921584003856234,3
Pole3,0.00011140418813826436,0.0018965220468089483,5
Fitm2,0.00011169218622431032,0.0019012359901387393,1
Pex12,0.00011205580607975829,0.0019072361108028256,1
Lclat1,0.0001122778866846641,0.0019108262224055515,2
1110059G10Rik,0.00011255594856240947,0.0019153682561271067,1
Zfp658,0.00011271178130556336,0.0019178296171984816,4
Sdf4,0.00011288658281483066,0.001920613217532779,3
Cldn6,0.00011301928105833525,0.00192268000591587,6
Art4,0.00011320097216005465,0.001925579766011909,6
Zfp397,0.00011324097454590287,0.00192606902554978,1
Rnase4,0.00011339779083030521,0.0019285448302046938,3
Zfp592,0.00011342761522192824,0.001928860619450218,1
Zfp605,0.00011361370784612745,0.0019318334567366678,2
Man1a2,0.00011410824465074576,0.0019400498219193836,1
Dnajc4,0.00011419275991997324,0.0019412096752991893,2
Mgmt,0.00011419912025478762,0.0019412096752991893,3
Slc35a2,0.00011422286316786767,0.0019414206862077418,1
Trp53i13,0.00011428075412234229,0.0019422120043888142,3
AI463170,0.00011431338490064391,0.001942573909162479,6
Fam109b,0.00011443421881207616,0.0019444344653075645,3
Cnnm2,0.00011456685676614065,0.0019464952036423902,2
Pelp1,0.000114584585161559,0.0019466034092107452,1
Wdr89,0.00011474780933851125,0.0019491830820419695,5
Psmd9,0.0001151119649815957,0.0019551750615382,1
Pum3,0.00011523418147341147,0.001957056927608143,1
Sema4d,0.00011538678376965539,0.0019594544208583853,2
Nudcd2,0.00011544771436367007,0.001960294859298186,5
Cep250,0.00011589744449325146,0.001967736268529334,1
Samd9l,0.0001164191431211048,0.0019763979817409693,3
