,combinedPval,adjustedPval,cluster
Efl1,1.1472727212691325e-07,2.1169427707807674e-06,5
Slc31a2,1.149412927059501e-07,2.1206739397462245e-06,5
Hmga1b,1.1550037526397716e-07,2.1307701026957763e-06,1
Mustn1,1.1606452643420084e-07,2.140957688226686e-06,7
3110045C21Rik,1.1622304896263813e-07,2.143661613595681e-06,4
Lyar,1.1733832994131888e-07,2.1640099835701e-06,1
2610001J05Rik,1.1801128230182201e-07,2.1761973743707366e-06,3
Myf5,1.1922294207433737e-07,2.1983153231322726e-06,7
Rnf180,1.1929695786783157e-07,2.1994542146521273e-06,0
Srcap,1.1940579236480175e-07,2.201234751895486e-06,8
Zfp592,1.2020328532535984e-07,2.2157089754322704e-06,4
Cdc25b,1.2027787943402757e-07,2.216856389804987e-06,1
Slc2a12,1.2134200066959977e-07,2.2362397929096217e-06,9
Fgf15,1.228856597590422e-07,2.2644558245243366e-06,1
Mrps18b,1.2305746832641518e-07,2.267389103471622e-06,4
Pkd2,1.2373630298156968e-07,2.2796630052165193e-06,3
Ttll9,1.241808001983813e-07,2.2876175019197954e-06,9
Mapk12,1.2460070020203773e-07,2.2951172913800675e-06,1
Hddc2,1.2519908554331494e-07,2.3059028654076972e-06,3
Zmynd10,1.2668432414209008e-07,2.333018516622522e-06,9
Tnip1,1.2740409460754165e-07,2.346033190743789e-06,5
Smim10l2a,1.2759597933786893e-07,2.3493256457781898e-06,0
Kcnk1,1.2797359505434258e-07,2.3560367953767752e-06,5
Stx4a,1.2840237950673128e-07,2.3636885059000526e-06,3
Rbm48,1.297006952949431e-07,2.3873437290147825e-06,0
2510046G10Rik,1.3056940684208485e-07,2.403087376723369e-06,4
Hist1h1d,1.307445591791634e-07,2.4060643743356663e-06,8
Unc13c,1.3300266821225648e-07,2.4473690435026722e-06,0
Asxl2,1.3403982612736343e-07,2.466200948187436e-06,5
Corin,1.3442678081787562e-07,2.4730671198633963e-06,7
Jag1,1.3451469449421438e-07,2.4744309515374684e-06,3
Trim29,1.3464397485840607e-07,2.476555376261226e-06,5
Otulin,1.3535748677462323e-07,2.489424247553754e-06,1
AC132307.1,1.3716411362274528e-07,2.5223924231520555e-06,4
Tmem176a,1.3772223250718696e-07,2.5323966425202116e-06,3
Dleu7,1.3852932723157352e-07,2.546976440174273e-06,2
Itpkb,1.3887957428515563e-07,2.5531545894114656e-06,3
Hand1,1.3908401419460148e-07,2.5566512374296618e-06,5
Col17a1,1.3930611486578925e-07,2.560471777600962e-06,5
Acot13,1.3966156897637916e-07,2.566742345317607e-06,1
Rhog,1.408185494877756e-07,2.5877408153458403e-06,3
Zfp687,1.4088171063075805e-07,2.5886365604737224e-06,1
Fgf2,1.414356937123884e-07,2.598549826592838e-06,3
Sema3d,1.4220426414190968e-07,2.61240320109735e-06,3
Nop16,1.4384908275655306e-07,2.642349456685857e-06,1
Erich1,1.4537018122595669e-07,2.6700172152468967e-06,5
Slc6a15,1.4604220144320834e-07,2.6820858707731546e-06,9
Acaa2,1.461260259461028e-07,2.6833508642883652e-06,3
Mrm2,1.471003159281281e-07,2.700965780066035e-06,5
Col27a1,1.4997272779204707e-07,2.753425679817569e-06,3
1700088E04Rik,1.503716400286237e-07,2.760258589128301e-06,9
Pold2,1.5037564593534114e-07,2.760258589128301e-06,1
Igdcc4,1.5039518475035152e-07,2.7603350536978324e-06,3
Tedc1,1.510231986134869e-07,2.7715782387255467e-06,1
Pex12,1.5112739171208034e-07,2.773206947749374e-06,0
Ccdc173,1.511988636515582e-07,2.7742349478142493e-06,9
Olig1,1.5158800559245122e-07,2.781090831689559e-06,5
Adprhl1,1.5193646829558816e-07,2.7871990742701853e-06,7
Plek2,1.525549591097075e-07,2.7982590944662328e-06,7
