,combinedPval,adjustedPval,cluster
POLR2M,3.60466225481915e-05,0.00168697731062274,8
TGIF1,3.60612889495071e-05,0.0016869897092235,3
ENSGALG00000007127,3.62094355617071e-05,0.00169324396715923,3
ENSGALG00000051348,3.66021218058954e-05,0.00171092395664461,5
ENSGALG00000038528,3.69086697429299e-05,0.00172456501191653,6
MDN1,3.69354419051948e-05,0.00172512782219861,2
ITGB3,3.70998156932201e-05,0.00173211452234693,3
SLC25A17,3.71292496585962e-05,0.00173279810103356,6
ZMAT5,3.75898930262686e-05,0.00175359738511223,1
GTF3A,3.77686963729529e-05,0.00176123728986887,2
SLC16A9,3.78534134927166e-05,0.00176448541275043,8
ENSGALG00000046953,3.789712566582e-05,0.00176582032205529,5
SLC18B1,3.82488535046743e-05,0.0017815004836712,3
ENSGALG00000006976,3.82916462230432e-05,0.00178278476106442,1
TCP11L2,3.84417120516956e-05,0.00178906046159831,7
TMEM57,3.8814677252752e-05,0.00180570069694698,1
CAMK4,3.89848217322575e-05,0.00181248526003579,7
FGFR4,3.89914613267983e-05,0.00181248526003579,7
DCTN6,3.90383500080693e-05,0.00181394502146476,8
XPNPEP3,3.9478503601309e-05,0.00183366971678908,8
ADA2,3.96556039654605e-05,0.00184116550787461,5
PIGX,3.97486554303272e-05,0.00184475460867734,5
TMED7,3.98113539024081e-05,0.00184693272723427,7
ENSGALG00000011745,4.00386000268815e-05,0.00185673981203938,9
PTPRG,4.02484796624414e-05,0.00186573410458066,3
N6AMT1,4.03139239566475e-05,0.00186802857280877,6
ENSGALG00000047532,4.05615788938718e-05,0.0018787609928592,9
ANXA11,4.08448226558722e-05,0.00189113270654649,7
MRPL37,4.12401497207338e-05,0.00190868209842833,1
RSL1D1,4.13754126413757e-05,0.00191418605857623,6
OGT,4.14968445342501e-05,0.00191904604888446,5
RNF13,4.17438331064002e-05,0.00192970635463588,3
PCCA,4.188623539636e-05,0.00193552541148926,1
MCM3,4.2074698745509e-05,0.00194346748016944,1
ENSGALG00000041973,4.22088647157315e-05,0.00194889623257547,6
NSMCE1,4.22742524013309e-05,0.00195114628080873,1
SFXN2,4.2357603925014e-05,0.00195422334176888,6
PPM1M,4.26119344442144e-05,0.0019651832133192,1
SLC25A14,4.27300006683451e-05,0.00196985267557574,1
USP7,4.28510184998787e-05,0.00197465447953153,5
HOXD8,4.31972386862878e-05,0.00198982616866432,7
RDH11,4.35014124470223e-05,0.00200304987627267,3
STEAP3,4.36151970755194e-05,0.00200750004934956,1
ITFG1,4.40285550676878e-05,0.00202572993456442,5
TRAPPC2,4.42687848734025e-05,0.00203598309846513,7
DCP1B,4.43402799470416e-05,0.00203847091458241,9
FAM126A,4.4504027778558e-05,0.00204519628256394,1
RYK,4.45489189109249e-05,0.002046456421585,7
ENSGALG00000012055,4.47152242221138e-05,0.00205329082411283,7
CCDC90B,4.47742283855579e-05,0.00205519460998105,7
KLHDC2,4.48610800342086e-05,0.00205837463910892,2
ENSGALG00000045611,4.49490212914849e-05,0.00206160215327283,5
TMEM254,4.49798584128969e-05,0.00206220906547683,7
PEBP4,4.5024068736299e-05,0.00206342838930506,9
YPEL5,4.52943862958577e-05,0.00207447525147776,3
SLC5A6,4.53005303071574e-05,0.00207447525147776,1
PHKG1,4.53246952696329e-05,0.00207477076158285,2
ENSGALG00000027620,4.57364253727555e-05,0.0020928001857991,7
ATP6AP1,4.62807491086181e-05,0.00211688035962453,5
PSMD10,4.64712952488178e-05,0.00212405419059247,6
CBLN1,4.64738537206966e-05,0.00212405419059247,2
SQLE,4.65170005453652e-05,0.00212519700192411,3
SELENBP1,4.65431813027051e-05,0.00212556410483947,3
CPT2,4.69356126230336e-05,0.00214265057082218,1
KPNA3,4.69551500925647e-05,0.00214270743492466,9
INCENP,4.71753586501755e-05,0.00215108027764079,6
ERBB3,4.71717664796145e-05,0.00215108027764079,1
NAE1,4.75927545098287e-05,0.00216926810007052,8
BLMH,4.76209920825532e-05,0.00216971091741636,9
ENSGALG00000031296,4.82029026169783e-05,0.00219537006787654,9
LRRN1,4.82605772567091e-05,0.00219714256759644,2
ENSGALG00000006564,4.84832457759987e-05,0.00220642239096282,3
TRAPPC6B,4.85644225505233e-05,0.00220925836431416,2
BUB1B,4.86781039795714e-05,0.00221357024055681,6
UCK1,4.8731009727021e-05,0.002215116151767,3
UFSP2,4.87935946849039e-05,0.00221710067106531,7
ACTR6,4.91871702145152e-05,0.00223411748685091,6
ENSGALG00000044866,4.92554087070385e-05,0.00223634979107946,2
BDKRB1,4.94521606966281e-05,0.00224441301997847,7
ENSGALG00000027159,4.96414693438307e-05,0.00225213231387667,9
PRADC1,4.98842835443547e-05,0.00226227212893186,3
CCNG1,4.99128653910219e-05,0.00226269233312849,8
MOCS2,4.99855846309849e-05,0.00226511231191839,6
COL8A1,5.02332584864096e-05,0.00227545547612872,3
ENSGALG00000049593,5.0562623745587e-05,0.00228860499756868,9
PTBP2,5.05451317200922e-05,0.00228860499756868,8
HNRNPDL,5.0587269742941e-05,0.00228883614051053,3
ASB12,5.07499954015556e-05,0.00229531214836561,1
HBA1,5.08336717726099e-05,0.00229820930952229,10
CDC5L,5.09765537261009e-05,0.0023029354299057,3
TUBB3,5.09775273080937e-05,0.0023029354299057,7
RUFY1,5.10125064521194e-05,0.00230362722800141,8
LGALS8,5.11961431353125e-05,0.00231102899614232,3
ENSGALG00000046843,5.13101900612156e-05,0.00231528494255975,5
XPO5,5.13506710265732e-05,0.00231621935092801,9
ENSGALG00000049439,5.13945971988283e-05,0.00231730837938519,7
HYAL1,5.17573950151728e-05,0.00233276850114088,1
MSMO1,5.18245427809649e-05,0.00233489654963321,7
ACTR1A,5.21586541849528e-05,0.00234904608429938,9
CYR61,5.23069592308634e-05,0.00235481988087558,6
WNT5A,5.27818077998843e-05,0.00237528433686795,7
TNFAIP8,5.30303094763429e-05,0.0023855509350416,3
GFOD2,5.31273804720289e-05,0.00238900020688656,8
C5H15orf57,5.31568404997795e-05,0.00238940770871599,9
HBBR,5.32397445728305e-05,0.00239213477395418,9
RNF41,5.32583514571972e-05,0.00239213477395418,8
NOC3L,5.35404377660642e-05,0.00240388313642885,3
PLAC8,5.35671699555262e-05,0.00240416188265324,3
GFM1,5.39411529989486e-05,0.0024200195009305,1
QDPR,5.42258254604411e-05,0.00243147286420683,7
ADPGK,5.42379572829876e-05,0.00243147286420683,3
ENSGALG00000045060,5.42819935194228e-05,0.00243251606824095,9
PRPF38A,5.50250507656003e-05,0.00246487142898969,6
HIPK2,5.51570156528403e-05,0.00246983836548476,1
PIM1,5.53436580064126e-05,0.0024772489354708,7
COQ5,5.56071171408101e-05,0.00248809094267031,5
ECHDC3,5.5695847303916e-05,0.00249110956327442,8
ROCK1,5.62470731710896e-05,0.00251480404113535,8
AIFM1,5.62877013128293e-05,0.00251566034776901,1
RTN4IP1,5.63153146416751e-05,0.00251593455340259,1
RERGL,5.64399392719572e-05,0.00252054095998576,7
ZDHHC3,5.65446365450306e-05,0.00252425426252611,8
FAM89A,5.65829624393777e-05,0.00252500292691631,7
ZFHX4,5.66808168993571e-05,0.00252840645937381,7
PSPC1,5.68906135958169e-05,0.00253679899653092,8
MED30,5.72488055052833e-05,0.00255179969269946,6
P2RX4,5.72892089139021e-05,0.00255262930805881,7
ENSGALG00000013590,5.79396746083205e-05,0.00258063043864508,8
ACAA1,5.79637603783656e-05,0.002580721954633,7
NCS1,5.82160486695127e-05,0.00259096980735704,2
TIMM22,5.82854786329579e-05,0.00259307465414281,8
CUX1,5.85780182710272e-05,0.00260510010654353,3
ENSGALG00000015349,5.88693269594209e-05,0.00261706170905928,1
KRT23,5.89275967957104e-05,0.00261865832192345,7
NMT2,5.90291299578105e-05,0.00262217555525487,8
DNAJB14,5.92220369077801e-05,0.0026297475642692,2
