,combinedPval,adjustedPval
HADHB,3.02937299379198e-25,1.43160473460671e-22
GATA5,3.06725492960546e-25,1.44363832683562e-22
ARF4,3.20382181818118e-25,1.50183477937587e-22
PRRX2,3.26566473949803e-25,1.52467659510117e-22
RBP5,3.31486580048578e-25,1.54145704175014e-22
FGL1,3.57213718076286e-25,1.65447378782947e-22
ACTG2,3.70223640963214e-25,1.70792615945289e-22
NAP1L1,4.59454888744435e-25,2.11119252442177e-22
ROMO1,4.6224260433991e-25,2.11563984842583e-22
SH3BGRL3,9.1716950781964e-25,4.18133449229281e-22
ENSGALG00000043598,1.0802099302625e-24,4.90539160778257e-22
NEXN,1.14631286019754e-24,5.18531954611827e-22
ENSGALG00000038672,1.17250377961008e-24,5.28323622118393e-22
ATP5F1D,1.34250075521294e-24,6.02587693957146e-22
PEBP1,1.5223839218313e-24,6.80700899255496e-22
NDUFS5,1.58197747804211e-24,7.04636722100228e-22
LRRC59,1.70976460879779e-24,7.58648346371906e-22
ZCCHC13,1.72332065561133e-24,7.61755903536726e-22
MDH2,1.85246913494566e-24,8.15741463056153e-22
NDUFB1,1.93494476498936e-24,8.48844583736886e-22
HSPA5,2.39755863618477e-24,1.04783544307028e-21
ENSGALG00000028135,2.69921991739089e-24,1.17525604096742e-21
HOXB5,2.93083955841961e-24,1.27134299468667e-21
PITX2,3.20040686335107e-24,1.38311533583492e-21
UQCRC1,3.25500770039189e-24,1.40150205800988e-21
TUBA1A,3.45995804822416e-24,1.48424989141418e-21
MYH10,3.54241201638182e-24,1.51403408363909e-21
ID1,3.65009254306496e-24,1.55434246487969e-21
METRNL,3.69299921520592e-24,1.56687422397021e-21
TMSB4X,3.77587519079644e-24,1.59074557130648e-21
UQCRB,3.77662897858942e-24,1.59074557130648e-21
LBH,4.24881131151401e-24,1.78317168446082e-21
ACO2,4.68730346487375e-24,1.96012496118651e-21
ENO1,4.72614234107408e-24,1.96928275538547e-21
SNRPE,4.79079965827779e-24,1.98909470929633e-21
H3F3C,4.89924786870332e-24,2.02688251449664e-21
FKBP11,7.09398845488452e-24,2.92446785918274e-21
NDUFA4,7.12291394527041e-24,2.92601633039762e-21
